ime,država,spol,disciplina,zlate,srebrne,bronaste,skupaj
TSELIDIS Theodoros,Greece,M,Judo,0,0,1,1
PETERS Anderson,Grenada,M,Athletics,0,0,1,1
VICTOR Lindon,Grenada,M,Athletics,0,0,1,1
BROL CARDENAS Jean Pierre,Guatemala,M,Shooting,0,0,1,1
BETLEHEM David,Hungary,M,Marathon Swimming,0,0,1,1
KOPASZ Balint,Hungary,M,Canoe Sprint,0,0,1,1
MAJOR Veronika,Hungary,F,Shooting,0,0,1,1
MUHARI Eszter,Hungary,F,Fencing,0,0,1,1
TUNJUNG Gregoria Mariska,Indonesia,F,Badminton,0,0,1,1
ABHISHEK Abhishek,India,M,Hockey,0,0,1,1
AMAN Aman,India,M,Wrestling,0,0,1,1
KUSALE Swapnil,India,M,Shooting,0,0,1,1
PAL Raj Kumar,India,M,Hockey,0,0,1,1
PARATTU RAVEENDRAN Sreejesh,India,M,Hockey,0,0,1,1
PRASAD Vivek Sagar,India,M,Hockey,0,0,1,1
ROHIDAS Amit,India,M,Hockey,0,0,1,1
SANJAY Sanjay,India,M,Hockey,0,0,1,1
SINGH Gurjant,India,M,Hockey,0,0,1,1
SINGH Hardik,India,M,Hockey,0,0,1,1
SINGH Harmanpreet,India,M,Hockey,0,0,1,1
SINGH Jarmanpreet,India,M,Hockey,0,0,1,1
SINGH Mandeep,India,M,Hockey,0,0,1,1
SINGH Manpreet,India,M,Hockey,0,0,1,1
SINGH Sarabjot,India,M,Shooting,0,0,1,1
SINGH Shamsher,India,M,Hockey,0,0,1,1
SINGH Sukhjeet,India,M,Hockey,0,0,1,1
SUMIT Sumit,India,M,Hockey,0,0,1,1
UPADHYAY Lalit Kumar,India,M,Hockey,0,0,1,1
AZARPIRA Amirali,IR Iran,M,Wrestling,0,0,1,1
MIRZAZADEH Amin,IR Iran,M,Wrestling,0,0,1,1
NEMATZADEH Mobina,IR Iran,F,Taekwondo,0,0,1,1
DOYLE Philip,Ireland,M,Rowing,0,0,1,1
LYNCH Daire,Ireland,M,Rowing,0,0,1,1
Mc SHARRY Mona,Ireland,F,Swimming,0,0,1,1
PALTCHIK Peter,Israel,M,Judo,0,0,1,1
ALESSIO Simone,Italy,M,Taekwondo,0,0,1,1
CENTOFANTI Martina,Italy,F,Rhythmic Gymnastics,0,0,1,1
CONTE BONIN Paolo,Italy,M,Swimming,0,0,1,1
DEPLANO Leonardo,Italy,M,Swimming,0,0,1,1
DIAZ HERNANDEZ Andy,Italy,M,Athletics,0,0,1,1
DURANTI Agnese,Italy,F,Rhythmic Gymnastics,0,0,1,1
FRIGO Manuel,Italy,M,Swimming,0,0,1,1
FURLANI Mattia,Italy,M,Athletics,0,0,1,1
LAMON Francesco,Italy,M,Cycling Track,0,0,1,1
MALAN Giorgio,Italy,M,Modern Pentathlon,0,0,1,1
MAURELLI Alessia,Italy,F,Rhythmic Gymnastics,0,0,1,1
MILAN Jonathan,Italy,M,Cycling Track,0,0,1,1
MIRESSI Alessandro,Italy,M,Swimming,0,0,1,1
MOGUREAN Daniela,Italy,F,Rhythmic Gymnastics,0,0,1,1
MONNA Paolo,Italy,M,Shooting,0,0,1,1
MUSETTI Lorenzo,Italy,M,Tennis,0,0,1,1
PARIS Laura,Italy,F,Rhythmic Gymnastics,0,0,1,1
PIZZOLATO Antonino,Italy,M,Weightlifting,0,0,1,1
RAFFAELI Sofia,Italy,F,Rhythmic Gymnastics,0,0,1,1
SAMELE Luigi,Italy,M,Fencing,0,0,1,1
TADDEUCCI Ginevra,Italy,F,Marathon Swimming,0,0,1,1
ZAZZERI Lorenzo,Italy,M,Swimming,0,0,1,1
BROADBELL Rasheed,Jamaica,M,Athletics,0,0,1,1
CAMPBELL Rajindra,Jamaica,M,Athletics,0,0,1,1
AZUMA Sera,Japan,F,Fencing,0,0,1,1
EMURA Misaki,Japan,F,Fencing,0,0,1,1
FUKUSHIMA Shihomi,Japan,F,Fencing,0,0,1,1
HIGASHINO Arisa,Japan,F,Badminton,0,0,1,1
KIKUCHI Komaki,Japan,F,Fencing,0,0,1,1
KITAJIMA Ryuzo,Japan,M,Equestrian,0,0,1,1
MATSUYAMA Hideki,Japan,M,Golf,0,0,1,1
MATSUYAMA Nami,Japan,F,Badminton,0,0,1,1
MIYAWAKI Karin,Japan,F,Fencing,0,0,1,1
OIWA Yoshiaki,Japan,M,Equestrian,0,0,1,1
OZAKI Nonoka,Japan,F,Wrestling,0,0,1,1
OZAKI Seri,Japan,F,Fencing,0,0,1,1
SHIDA Chiharu,Japan,F,Badminton,0,0,1,1
SUSAKI Yui,Japan,F,Wrestling,0,0,1,1
TAKASHIMA Risa,Japan,F,Fencing,0,0,1,1
TANAKA Toshiyuki,Japan,M,Equestrian,0,0,1,1
TOMOTO Kazuma,Japan,M,Equestrian,0,0,1,1
UENO Yuka,Japan,F,Fencing,0,0,1,1
WATANABE Yuta,Japan,M,Badminton,0,0,1,1
KYRGYZBAYEV Gusman,Kazakhstan,M,Judo,0,0,1,1
KYZAIBAY Nazym,Kazakhstan,F,Boxing,0,0,1,1
LE Alexandra,Kazakhstan,F,Shooting,0,0,1,1
SATPAYEV Islam,Kazakhstan,M,Shooting,0,0,1,1
CHEROTICH Faith,Kenya,F,Athletics,0,0,1,1
KIBIWOT Abraham,Kenya,M,Athletics,0,0,1,1
KIPRUTO Benson,Kenya,M,Athletics,0,0,1,1
MORAA Mary,Kenya,F,Athletics,0,0,1,1
OBIRI Hellen,Kenya,F,Athletics,0,0,1,1
DZHUZUPBEKOV Uzur,Kyrgyzstan,M,Wrestling,0,0,1,1
MAKHMUDOV Akzhol,Kyrgyzstan,M,Wrestling,0,0,1,1
SHARSHENBEKOV Zholaman,Kyrgyzstan,M,Wrestling,0,0,1,1
TYNYBEKOVA Aisuluu,Kyrgyzstan,F,Wrestling,0,0,1,1
AN Baul,Korea,M,Judo,0,0,1,1
HAN Juyeop,Korea,M,Judo,0,0,1,1
IM Aeji,Korea,F,Boxing,0,0,1,1
JEON Jihee,Korea,F,Table Tennis,0,0,1,1
JUNG Yerin,Korea,F,Judo,0,0,1,1
KIM Jisu,Korea,F,Judo,0,0,1,1
KIM Won Jin,Korea,M,Judo,0,0,1,1
KIM Woomin,Korea,M,Swimming,0,0,1,1
LEE Dabin,Korea,F,Taekwondo,0,0,1,1
LEE Eunhye,Korea,F,Table Tennis,0,0,1,1
LEE Hyekyeong,Korea,F,Judo,0,0,1,1
LIM Jonghoon,Korea,M,Table Tennis,0,0,1,1
SEONG Seungmin,Korea,F,Modern Pentathlon,0,0,1,1
YOON Hyunji,Korea,F,Judo,0,0,1,1
FAZLIU Laura,Kosovo,F,Judo,0,0,1,1
DZIAUGYS Evaldas,Lithuania,M,3x3 Basketball,0,0,1,1
MATULIS Gintautas,Lithuania,M,3x3 Basketball,0,0,1,1
PUKELIS Aurelijus,Lithuania,M,3x3 Basketball,0,0,1,1
SENKUTE Viktorija,Lithuania,F,Rowing,0,0,1,1
VINGELIS Sarunas,Lithuania,M,3x3 Basketball,0,0,1,1
AKHOMACH Ilias,Morocco,M,Football,0,0,1,1
BEN SEGHIR Eliesse,Morocco,M,Football,0,0,1,1
BOUCHOUARI Benjamin,Morocco,M,Football,0,0,1,1
BOUKAMIR Mehdi,Morocco,M,Football,0,0,1,1
EL AZZOUZI Oussama,Morocco,M,Football,0,0,1,1
EL KAJOUI Munir,Morocco,M,Football,0,0,1,1
EL KHANNOUSS Bilal,Morocco,M,Football,0,0,1,1
EL OUAHDI Zakaria,Morocco,M,Football,0,0,1,1
EZZALZOULI Abde,Morocco,M,Football,0,0,1,1
GHANIMI Rachid,Morocco,M,Football,0,0,1,1
HAKIMI Achraf,Morocco,M,Football,0,0,1,1
KECHTA Yassine,Morocco,M,Football,0,0,1,1
MANAOUT Haytam,Morocco,M,Football,0,0,1,1
MAOUHOUB Mehdi,Morocco,M,Football,0,0,1,1
NAKACH Akram,Morocco,M,Football,0,0,1,1
RAHIMI Soufiane,Morocco,M,Football,0,0,1,1
RICHARDSON Amir,Morocco,M,Football,0,0,1,1
TAHIF Adil,Morocco,M,Football,0,0,1,1
TARGHALLINE Oussama,Morocco,M,Football,0,0,1,1
CHIA Aaron,Malaysia,M,Badminton,0,0,1,1
LEE Zii Jia,Malaysia,M,Badminton,0,0,1,1
SOH Wooi Yik,Malaysia,M,Badminton,0,0,1,1
OSMANOV Adil,Republic of Moldova,M,Judo,0,0,1,1
TARNOVSCHI Serghei,Republic of Moldova,M,Canoe Sprint,0,0,1,1
VIERU Denis,Republic of Moldova,M,Judo,0,0,1,1
RUIZ Angela,Mexico,F,Archery,0,0,1,1
VALENCIA Alejandra,Mexico,F,Archery,0,0,1,1
VAZQUEZ Ana,Mexico,F,Archery,0,0,1,1
AARTS Laura,Netherlands,F,Water Polo,0,0,1,1
BUIS Sarah,Netherlands,F,Water Polo,0,0,1,1
CORBEAU Caspar,Netherlands,M,Swimming,0,0,1,1
de BROUWER Bregje,Netherlands,F,Artistic Swimming,0,0,1,1
de BROUWER Noortje,Netherlands,F,Artistic Swimming,0,0,1,1
JOUSTRA Kittylynn,Netherlands,F,Water Polo,0,0,1,1
KEUNING Maartje,Netherlands,F,Water Polo,0,0,1,1
LAMMERTS Annelous,Netherlands,F,Sailing,0,0,1,1
MOOLHUIJZEN Lola,Netherlands,F,Water Polo,0,0,1,1
ROGGE Bente,Netherlands,F,Water Polo,0,0,1,1
ROGGE Lieke,Netherlands,F,Water Polo,0,0,1,1
SCHOUTEN Tes,Netherlands,F,Swimming,0,0,1,1
SEVENICH Vivian,Netherlands,F,Water Polo,0,0,1,1
SLEEKING Brigitte,Netherlands,F,Water Polo,0,0,1,1
TEN BROEK Nina,Netherlands,F,Water Polo,0,0,1,1
van BELLE Lisa,Netherlands,F,Cycling Track,0,0,1,1
van de KRAATS Simone,Netherlands,F,Water Polo,0,0,1,1
van der DUIN Maike,Netherlands,F,Cycling Track,0,0,1,1
van der SLOOT Sabrina,Netherlands,F,Water Polo,0,0,1,1
van der VLEUTEN Maikel,Netherlands,M,Equestrian,0,0,1,1
van DORP Simon,Netherlands,M,Rowing,0,0,1,1
van OPZEELAND Luuc,Netherlands,M,Sailing,0,0,1,1
WOLVES Iris,Netherlands,F,Water Polo,0,0,1,1
BULLEN Grace Jacob,Norway,F,Wrestling,0,0,1,1
HOEST Line Flem,Norway,F,Sailing,0,0,1,1
MOL Anders Berntsen,Norway,M,Beach Volleyball,0,0,1,1
SOERUM Christian Sandlie,Norway,M,Beach Volleyball,0,0,1,1
DAWSON Erica,New Zealand,F,Sailing,0,0,1,1
GOWLER Jackie,New Zealand,F,Rowing,0,0,1,1
SPOORS Phoebe,New Zealand,F,Rowing,0,0,1,1
WADDY Davina,New Zealand,F,Rowing,0,0,1,1
WILKINSON Micah,New Zealand,M,Sailing,0,0,1,1
WILLIAMS Kerri,New Zealand,F,Rowing,0,0,1,1
PESCHIERA Stefano,Peru,M,Sailing,0,0,1,1
PETECIO Nesthy,Philippines,F,Boxing,0,0,1,1
VILLEGAS Aira,Philippines,F,Boxing,0,0,1,1
BARANSKI Fabian,Poland,M,Rowing,0,0,1,1
BISKUP Mateusz,Poland,M,Rowing,0,0,1,1
CZAJA Dominik,Poland,M,Rowing,0,0,1,1
JARECKA Aleksandra,Poland,F,Fencing,0,0,1,1
KACZMAREK Natalia,Poland,F,Athletics,0,0,1,1
KALUCKA Aleksandra,Poland,F,Sport Climbing,0,0,1,1
KLASIK Alicja,Poland,F,Fencing,0,0,1,1
KNAPIK-MIAZGA Renata,Poland,F,Fencing,0,0,1,1
SWATOWSKA-WENGLARCZYK Martyna,Poland,F,Fencing,0,0,1,1
SWIATEK Iga,Poland,F,Tennis,0,0,1,1
ZIETARSKI Miroslaw,Poland,M,Rowing,0,0,1,1
SAMPAIO Patricia,Portugal,F,Judo,0,0,1,1
CHOE Hyo Gyong,DPR Korea,F,Wrestling,0,0,1,1
PANG Cholmi,DPR Korea,F,Boxing,0,0,1,1
RI Se Ung,DPR Korea,M,Wrestling,0,0,1,1
CAMACHO-QUINN Jasmine,Puerto Rico,F,Athletics,0,0,1,1
RIVERA Sebastian C,Puerto Rico,M,Wrestling,0,0,1,1
BARSHIM Mutaz Essa,Qatar,M,Athletics,0,0,1,1
BARBOSU Ana,Romania,F,Artistic Gymnastics,0,0,1,1
BROWN Ronald,South Africa,M,Rugby Sevens,0,0,1,1
DAVIDS Selvyn,South Africa,M,Rugby Sevens,0,0,1,1
DAVIDS Zain,South Africa,M,Rugby Sevens,0,0,1,1
GROBBELAAR Christie,South Africa,M,Rugby Sevens,0,0,1,1
HATHERLY Alan,South Africa,M,Cycling Mountain Bike,0,0,1,1
LEYDS Tristan,South Africa,M,Rugby Sevens,0,0,1,1
NORTJE Quewin,South Africa,M,Rugby Sevens,0,0,1,1
OOSTHUIZEN Ryan,South Africa,M,Rugby Sevens,0,0,1,1
PRETORIUS Tiaan,South Africa,M,Rugby Sevens,0,0,1,1
SOYIZWAPI Siviwe,South Africa,M,Rugby Sevens,0,0,1,1
SPECMAN Rosko,South Africa,M,Rugby Sevens,0,0,1,1
van WYK Shilton,South Africa,M,Rugby Sevens,0,0,1,1
VISSER Impi,South Africa,M,Rugby Sevens,0,0,1,1
WILLIAMS Shaun,South Africa,M,Rugby Sevens,0,0,1,1
MAEDER Maximilian,Singapore,M,Sailing,0,0,1,1
AVRAMOVIC Aleksa,Serbia,M,Basketball,0,0,1,1
BOGDANOVIC Bogdan,Serbia,M,Basketball,0,0,1,1
DAVIDOVAC Dejan,Serbia,M,Basketball,0,0,1,1
DOBRIC Ognjen,Serbia,M,Basketball,0,0,1,1
GUDURIC Marko,Serbia,M,Basketball,0,0,1,1
JOKIC Nikola,Serbia,M,Basketball,0,0,1,1
JOVIC Nikola,Serbia,M,Basketball,0,0,1,1
MARINKOVIC Vanja,Serbia,M,Basketball,0,0,1,1
MICIC Vasilije,Serbia,M,Basketball,0,0,1,1
MILUTINOV Nikola,Serbia,M,Basketball,0,0,1,1
PETRUSEV Filip,Serbia,M,Basketball,0,0,1,1
PLAVSIC Uros,Serbia,M,Basketball,0,0,1,1
BRUNNER Nina,Switzerland,F,Beach Volleyball,0,0,1,1
CLAESSENS Zoe,Switzerland,F,Cycling BMX Racing,0,0,1,1
GOGNIAT Audrey,Switzerland,F,Shooting,0,0,1,1
GULICH Andrin,Switzerland,M,Rowing,0,0,1,1
HUEBERLI Tanja,Switzerland,F,Beach Volleyball,0,0,1,1
MITYUKOV Roman,Switzerland,M,Swimming,0,0,1,1
ROEOESLI Roman,Switzerland,M,Rowing,0,0,1,1
BENUS Matej,Slovakia,M,Canoe Slalom,0,0,1,1
BABULFATH Tara,Sweden,F,Judo,0,0,1,1
DAHLBERG Anton,Sweden,M,Sailing,0,0,1,1
KARLSSON Lovisa,Sweden,F,Sailing,0,0,1,1
RISSVEDS Jenny,Sweden,F,Cycling Mountain Bike,0,0,1,1
KHAMBAO Surodchana,Thailand,F,Weightlifting,0,0,1,1
SUWANNAPHENG Janjaem,Thailand,F,Boxing,0,0,1,1
BOLTAEV Davlat,Tajikistan,M,Boxing,0,0,1,1
MAKHMADBEKOV Somon,Tajikistan,M,Judo,0,0,1,1
RAKHIMOV Temur,Tajikistan,M,Judo,0,0,1,1
CHEN Nien Chin,Chinese Taipei,F,Boxing,0,0,1,1
KUO Hsing-Chun,Chinese Taipei,F,Weightlifting,0,0,1,1
LEE Meng Yuan,Chinese Taipei,M,Shooting,0,0,1,1
TANG Chia-Hung,Chinese Taipei,M,Artistic Gymnastics,0,0,1,1
WU Shih Yi,Chinese Taipei,F,Boxing,0,0,1,1
JENDOUBI Mohamed Khalil,Tunisia,M,Taekwondo,0,0,1,1
AKGUL Taha,Türkiye,M,Wrestling,0,0,1,1
CAVUSOGLU TOSUN Buse,Türkiye,F,Wrestling,0,0,1,1
GAZOZ Mete,Türkiye,M,Archery,0,0,1,1
KUS AYDIN Nafia,Türkiye,F,Taekwondo,0,0,1,1
TUMER Berkim,Türkiye,M,Archery,0,0,1,1
YILDIRMIS Abdullah,Türkiye,M,Archery,0,0,1,1
YILDIZ KAHRAMAN Esra,Türkiye,F,Boxing,0,0,1,1
BELENIUK Zhan,Ukraine,M,Wrestling,0,0,1,1
GERASHCHENKO Iryna,Ukraine,F,Athletics,0,0,1,1
KOKHAN Mykhaylo,Ukraine,M,Athletics,0,0,1,1
ANDERSON Matthew,United States,M,Volleyball,0,0,1,1
AVERILL Taylor,United States,M,Volleyball,0,0,1,1
BARROWS Ian,United States,M,Sailing,0,0,1,1
BOWEN Alex,United States,M,Water Polo,0,0,1,1
BROOKS Aaron Marquel,United States,M,Wrestling,0,0,1,1
BROWN Brittany,United States,F,Athletics,0,0,1,1
BURDICK Cierra,United States,F,3x3 Basketball,0,0,1,1
CANETT Kayla,United States,F,Rugby Sevens,0,0,1,1
CARLSON Chris,United States,M,Rowing,0,0,1,1
CHATAIN Peter,United States,M,Rowing,0,0,1,1
CHRISTENSON Micah,United States,M,Volleyball,0,0,1,1
CUPIDO Luca,United States,M,Water Polo,0,0,1,1
DAKE Kyle Douglas,United States,M,Wrestling,0,0,1,1
DAUBE Hannes,United States,M,Water Polo,0,0,1,1
DEAN Clark,United States,M,Rowing,0,0,1,1
DEFALCO Torey,United States,M,Volleyball,0,0,1,1
DODD Chase William,United States,M,Water Polo,0,0,1,1
DODD Ryder,United States,M,Water Polo,0,0,1,1
DOYLE Lauren,United States,F,Rugby Sevens,0,0,1,1
FRITZ Taylor,United States,M,Tennis,0,0,1,1
HALLOCK Ben,United States,M,Water Polo,0,0,1,1
HAMBY Dearica,United States,F,3x3 Basketball,0,0,1,1
HENKEN Hans,United States,M,Sailing,0,0,1,1
HOLLAND Drew,United States,M,Water Polo,0,0,1,1
HOLLINGSWORTH Henry,United States,M,Rowing,0,0,1,1
HOLT Maxwell,United States,M,Volleyball,0,0,1,1
HONG Asher,United States,M,Artistic Gymnastics,0,0,1,1
HOOPER Johnny,United States,M,Water Polo,0,0,1,1
HOWARD Rhyne,United States,F,3x3 Basketball,0,0,1,1
HUSTON Nyjah,United States,M,Skateboarding,0,0,1,1
IRVING Max,United States,M,Water Polo,0,0,1,1
ITKIN Nick,United States,M,Fencing,0,0,1,1
JAESCHKE Thomas,United States,M,Volleyball,0,0,1,1
JENDRYK II Jeffrey,United States,M,Volleyball,0,0,1,1
JONES Omari,United States,M,Boxing,0,0,1,1
JUDA Paul,United States,M,Artistic Gymnastics,0,0,1,1
KAUFHOLD Casey,United States,F,Archery,0,0,1,1
KELTER Alev,United States,F,Rugby Sevens,0,0,1,1
KERLEY Fred,United States,M,Athletics,0,0,1,1
KIRSHE Kristi,United States,F,Rugby Sevens,0,0,1,1
LEIBFARTH Evy,United States,F,Canoe Slalom,0,0,1,1
LEVY Sarah,United States,F,Rugby Sevens,0,0,1,1
MA'A Micah,United States,M,Volleyball,0,0,1,1
MAHER Ilona,United States,F,Rugby Sevens,0,0,1,1
MALONE Brody,United States,M,Artistic Gymnastics,0,0,1,1
MAROULIS Helen Louise,United States,F,Wrestling,0,0,1,1
MILNE Rielly,United States,M,Rowing,0,0,1,1
MORRIS Hampton,United States,M,Weightlifting,0,0,1,1
MUAGUTUTIA Garrett,United States,M,Volleyball,0,0,1,1
NUGUSE Yared,United States,M,Athletics,0,0,1,1
OBERT Alex,United States,M,Water Polo,0,0,1,1
OLSEN Alena,United States,F,Rugby Sevens,0,0,1,1
OLSON Evan,United States,M,Rowing,0,0,1,1
PAUL Tommy,United States,M,Tennis,0,0,1,1
QUINTON Pieter,United States,M,Rowing,0,0,1,1
RAMSEY Ariana,United States,F,Rugby Sevens,0,0,1,1
RICHARD Frederick,United States,M,Artistic Gymnastics,0,0,1,1
ROVETTI Steph,United States,F,Rugby Sevens,0,0,1,1
RUSHER Nick,United States,M,Rowing,0,0,1,1
RUSSELL Aaron,United States,M,Volleyball,0,0,1,1
SEDRICK Alex,United States,F,Rugby Sevens,0,0,1,1
SHOJI Erik,United States,M,Volleyball,0,0,1,1
SMITH David,United States,M,Volleyball,0,0,1,1
SULLIVAN Sammy,United States,F,Rugby Sevens,0,0,1,1
TABASH Christian,United States,M,Rowing,0,0,1,1
TAPPER Naya,United States,F,Rugby Sevens,0,0,1,1
TEACHOUT Kristina,United States,F,Taekwondo,0,0,1,1
van LITH Hailey,United States,F,3x3 Basketball,0,0,1,1
VAVIC Marko,United States,M,Water Polo,0,0,1,1
VICTOR,United States,M,Breaking,0,0,1,1
WATSON Sam,United States,M,Sport Climbing,0,0,1,1
WEINBERG Adrian,United States,M,Water Polo,0,0,1,1
WEYANT Emma,United States,F,Swimming,0,0,1,1
WOODHEAD Dylan,United States,M,Water Polo,0,0,1,1
ABDULLAEV Gulomjon,Uzbekistan,M,Wrestling,0,0,1,1
TUROBOYEV Muzaffarbek,Uzbekistan,M,Judo,0,0,1,1
YUSUPOV Alisher,Uzbekistan,M,Judo,0,0,1,1
SAMUKONGA Muzala,Zambia,M,Athletics,0,0,1,1
